"Revenue","OS","Gender"
927.968847904171,"Android","Male"
1207.35064210454,"Android","Male"
3444.83687792588,"Android","Male"
1500.84206181129,"Android","Male"
1562.73005772969,"Android","Male"
1939.99478938966,"Android","Male"
0,"Android","Male"
832.506057022497,"Android","Male"
1020.12104485672,"Android","Male"
1868.04483155198,"Android","Male"
1542.97926078826,"Android","Male"
931.587978082651,"Android","Male"
1984.93925598295,"Android","Male"
0,"Android","Male"
2242.59605516255,"Android","Male"
997.875388742967,"Android","Male"
581.583482006087,"Android","Male"
1218.52114223587,"Android","Male"
606.470522339477,"Android","Male"
802.119589478218,"Android","Male"
878.423778558906,"Android","Male"
0,"Android","Male"
2424.14018597683,"Android","Male"
1588.52178514007,"Android","Male"
541.192777876075,"Android","Male"
3008.98243350349,"Android","Male"
1898.59169309143,"Android","Male"
1148.97673064609,"Android","Male"
2502.30414971762,"Android","Male"
2479.03394501374,"Android","Male"
2402.23845691903,"Android","Male"
2226.01892714187,"Android","Male"
2054.25606915417,"Android","Male"
1366.86850056394,"Android","Male"
1139.34912908088,"Android","Male"
1074.77936813038,"Android","Male"
826.777276163788,"Android","Male"
1227.77450171227,"Android","Male"
0,"Android","Male"
2943.11048405347,"Android","Male"
549.673050104463,"Android","Male"
1055.79449088886,"Android","Male"
1002.88121734438,"Android","Male"
2346.40029880505,"Android","Male"
1345.86411092324,"Android","Male"
1698.24309818178,"Android","Male"
1399.91775366929,"Android","Male"
1385.67151711641,"Android","Male"
1211.3773598983,"Android","Male"
3385.26021073286,"Android","Male"
2092.7543884211,"Android","Male"
1556.94641979384,"Android","Male"
1656.70130112949,"Android","Male"
1843.13276138492,"Android","Male"
973.991884601393,"Android","Male"
1115.47717942125,"Android","Male"
610.959354762584,"Android","Male"
579.25593735009,"Android","Male"
1755.00484173861,"Android","Male"
1924.66591841314,"Android","Male"
1482.70074427412,"Android","Male"
2539.65167690782,"Android","Male"
983.083504733796,"Android","Male"
0,"Android","Male"
2655.77393605385,"Android","Male"
816.267893995944,"Android","Male"
831.661549124226,"Android","Male"
2683.61962050202,"Android","Male"
1158.12502312835,"Android","Male"
0,"Android","Male"
1618.74648120315,"Android","Male"
1292.4171984388,"Android","Male"
1434.39951111831,"Android","Male"
1849.76392744447,"Android","Male"
1083.153102436,"Android","Male"
2168.79542196945,"Android","Male"
1216.21689379717,"Android","Male"
1787.4263694535,"Android","Male"
1909.02001850799,"Android","Male"
1121.82270228834,"Android","Male"
2858.40427248474,"Android","Male"
2638.64219573623,"Android","Male"
2047.37302044482,"Android","Male"
1681.95856256813,"Android","Male"
876.261475346349,"Android","Male"
897.247092954855,"Android","Male"
1202.31514538435,"Android","Male"
606.219490367173,"Android","Male"
815.397194507191,"Android","Male"
1702.23731161385,"Android","Male"
1192.33105725575,"Android","Male"
1103.03783314907,"Android","Male"
652.342185596156,"Android","Male"
1383.53349716257,"Android","Male"
762.683117428309,"Android","Male"
0,"Android","Male"
1074.98756544132,"Android","Male"
916.412589546322,"Android","Male"
2122.29567809053,"Android","Male"
0,"Android","Male"
1373.12165516815,"Android","Male"
2011.4357457913,"Android","Male"
1752.29495230055,"Android","Male"
1537.69003501908,"Android","Male"
866.645994501615,"Android","Male"
718.549301252539,"Android","Male"
607.601899958491,"Android","Male"
1550.35442512875,"Android","Male"
654.958273139761,"Android","Male"
983.466013098961,"Android","Male"
1183.83187116986,"Android","Male"
858.251796783889,"Android","Male"
1678.23713877933,"Android","Male"
1508.60591494873,"Android","Male"
645.906331128654,"Android","Male"
1357.64644188993,"Android","Male"
1928.63350433652,"Android","Male"
1470.57524570515,"Android","Male"
1039.34838245608,"Android","Male"
0,"Android","Male"
2833.46956818161,"Android","Male"
0,"Android","Male"
2293.27627107877,"Android","Male"
0,"Android","Male"
2243.15565152999,"Android","Male"
1178.33132544321,"Android","Male"
0,"Android","Male"
0,"Android","Male"
0,"Android","Male"
951.20423054167,"Android","Male"
0,"Android","Male"
2225.07757476756,"Android","Male"
0,"Android","Male"
2356.78561902321,"Android","Male"
2331.84353506971,"Android","Male"
1787.91163848341,"Android","Male"
617.155070627905,"Android","Male"
1310.98154403932,"Android","Male"
1162.02693262958,"Android","Male"
2065.59380586171,"Android","Male"
1081.63205768601,"Android","Male"
2615.55334495573,"Android","Male"
1079.80198303585,"Android","Male"
2721.86612112159,"Android","Male"
592.600389612351,"Android","Male"
0,"Android","Male"
1044.06149960869,"Android","Male"
1748.9603583324,"Android","Male"
2158.78164534426,"Android","Male"
988.947660793948,"Android","Male"
2008.29726544428,"Android","Male"
1830.6213240623,"Android","Male"
1220.90407481992,"Android","Male"
1495.42305746552,"Android","Male"
1394.41677059023,"Android","Male"
793.254141262654,"Android","Male"
565.181735314746,"Android","Male"
1467.03837619927,"Android","Male"
1762.95044967515,"Android","Male"
1910.62830915531,"Android","Male"
1009.66802666412,"Android","Male"
584.22901445763,"Android","Male"
3022.45793152627,"Android","Male"
1101.21581705164,"Android","Male"
708.023564518331,"Android","Male"
1201.78777547121,"Android","Male"
1237.70329823774,"Android","Male"
2802.96399026797,"Android","Male"
1515.68634122474,"Android","Male"
2311.9373487994,"Android","Male"
976.427572979712,"Android","Male"
1655.05097461385,"Android","Male"
1122.91124712989,"Android","Male"
1526.00965286909,"Android","Male"
688.405095277179,"Android","Male"
0,"Android","Male"
2113.09312560291,"Android","Male"
0,"Android","Male"
888.932925812324,"Android","Male"
3093.28661415694,"Android","Male"
1175.68121151718,"Android","Male"
2040.89764033017,"Android","Male"
1046.16979872992,"Android","Male"
995.062953944565,"Android","Male"
760.121354049028,"Android","Male"
901.566580586598,"Android","Male"
3573.10310073965,"Android","Male"
1374.63475669581,"Android","Male"
1552.05046053328,"Android","Male"
1687.48066118866,"Android","Male"
2978.31010169333,"Android","Male"
962.997229781968,"Android","Male"
626.872521465643,"Android","Male"
806.289753224177,"Android","Male"
0,"Android","Male"
0,"Android","Male"
917.476272930834,"Android","Male"
2135.04111126639,"Android","Male"
2802.86131776312,"Android","Male"
2250.74335980683,"Android","Male"
1089.15375154996,"Android","Male"
1489.67635828017,"Android","Male"
819.597699982339,"Android","Male"
810.489137989855,"Android","Male"
2487.94843190607,"Android","Male"
612.767410094344,"Android","Male"
1339.10214877704,"Android","Male"
1655.15410452626,"Android","Male"
795.249601978528,"Android","Male"
917.154639418394,"Android","Male"
0,"Android","Male"
1250.94979522277,"Android","Male"
1889.66719248431,"Android","Male"
1778.81187679006,"Android","Male"
765.020559626059,"Android","Male"
760.108111302395,"Android","Male"
974.09203164117,"Android","Male"
3356.32431411911,"Android","Male"
541.660837996337,"Android","Male"
1254.56529253389,"Android","Male"
3904.46456256481,"Android","Male"
1328.77557130666,"Android","Male"
848.740984026719,"Android","Male"
1969.79749447304,"Android","Male"
1078.92949450271,"Android","Male"
926.876689005548,"Android","Male"
1106.17586242058,"Android","Male"
1521.71966390183,"Android","Male"
3500.53793761493,"Android","Male"
1340.80711598991,"Android","Male"
2761.60735773004,"Android","Male"
2151.33773815298,"Android","Male"
1316.56366477499,"Android","Male"
0,"Android","Male"
958.972319180855,"Android","Male"
984.020890721812,"Android","Male"
1476.66746938685,"Android","Male"
3075.71079965991,"Android","Male"
1297.88284246471,"Android","Male"
0,"Android","Male"
1067.71803268507,"Android","Male"
1520.36767001368,"Android","Male"
2433.93343742998,"Android","Male"
2595.43344792599,"Android","Male"
0,"Android","Male"
2440.21734848389,"Android","Male"
1019.38228855196,"Android","Male"
1611.68139310393,"Android","Male"
1505.05080642023,"Android","Male"
1900.62586081424,"Android","Male"
1453.6200198419,"Android","Male"
2288.7212461189,"Android","Male"
1850.6421018238,"Android","Male"
1175.22612445152,"Android","Male"
1550.88254567976,"Android","Male"
1567.79759124865,"Android","Male"
1662.30933137528,"Android","Male"
1217.53418137064,"Android","Male"
1604.37866587523,"Android","Male"
2723.9414975835,"Android","Male"
2853.3419276647,"Android","Male"
914.771412331291,"Android","Male"
1496.88470258635,"Android","Male"
3859.72100970507,"Android","Male"
0,"Android","Male"
1449.85611328683,"Android","Male"
3003.37440378429,"Android","Male"
811.911077978351,"Android","Male"
785.21828319416,"Android","Male"
660.621392948452,"Android","Male"
590.619807869846,"Android","Male"
1027.15326386789,"Android","Male"
1786.73101610627,"Android","Male"
1652.33441314864,"Android","Male"
4067.25915028228,"Android","Male"
2315.5451103828,"Android","Male"
0,"Android","Male"
896.294033854875,"Android","Male"
1099.14681585049,"Android","Male"
2245.42847501616,"Android","Male"
1324.23925147724,"Android","Male"
0,"Android","Male"
2524.66016789535,"Android","Male"
1680.51012231473,"Android","Male"
2957.67462400988,"Android","Male"
0,"Android","Male"
2189.9653698125,"Android","Male"
957.545035166089,"Android","Male"
2219.65406838905,"Android","Male"
1367.94046350347,"Android","Male"
2154.16058912058,"Android","Male"
3126.52741537248,"Android","Male"
1435.94473036205,"Android","Male"
513.411777252806,"Android","Male"
807.338081969117,"Android","Male"
3389.1479725925,"Android","Male"
1840.48982094797,"Android","Male"
0,"Android","Male"
0,"Android","Male"
1234.36554758084,"Android","Male"
2462.17100125408,"Android","Male"
1327.89746032527,"Android","Male"
2142.94840150798,"Android","Male"
1485.81351396467,"Android","Male"
1376.65483701464,"Android","Male"
0,"Android","Male"
1530.99854758824,"Android","Male"
919.122191912831,"Android","Male"
638.317541617532,"Android","Male"
1253.76710088569,"Android","Male"
2668.68617664575,"Android","Male"
1035.36132126148,"Android","Male"
1549.2842166124,"Android","Male"
689.810703084942,"Android","Male"
1789.87419862584,"Android","Male"
1880.68266080298,"Android","Male"
1395.44322100209,"Android","Male"
0,"Android","Male"
1230.19003982321,"Android","Male"
2177.55859392017,"Android","Male"
1721.22686713666,"Android","Male"
2682.3566660829,"Android","Male"
2396.95158919218,"Android","Male"
1226.04542979037,"Android","Male"
1841.40492932365,"Android","Male"
656.264801977487,"Android","Male"
1007.47673221805,"Android","Male"
0,"Android","Male"
1005.06254004931,"Android","Male"
2407.36459653221,"Android","Male"
2000.01201340785,"Android","Male"
905.509404674071,"Android","Male"
624.246455621815,"Android","Male"
1578.9646890134,"Android","Male"
1414.16688281425,"Android","Male"
0,"Android","Male"
1463.71887634909,"Android","Male"
1628.47814697883,"Android","Male"
1611.59859030938,"Android","Male"
589.136144288663,"Android","Male"
1958.44244040895,"Android","Male"
1934.34116604424,"Android","Male"
542.625021429924,"Android","Male"
1028.40855317767,"Android","Male"
1803.99301166363,"Android","Male"
861.907078234872,"Android","Male"
0,"Android","Male"
2487.4013605722,"Android","Male"
732.15450499058,"Android","Male"
917.796421106955,"Android","Male"
770.16556308964,"Android","Male"
2434.90816938166,"Android","Male"
0,"Android","Male"
1096.99404370209,"Android","Male"
1355.44577255042,"Android","Male"
524.228282231849,"Android","Male"
871.113626573022,"Android","Male"
1399.62368723014,"Android","Male"
2202.72984232427,"Android","Male"
0,"Android","Male"
1101.12608497707,"Android","Male"
2315.05661106664,"Android","Male"
944.960706668375,"Android","Male"
1669.25210072962,"Android","Male"
1978.06107109662,"Android","Male"
1714.54108279725,"Android","Male"
2180.21606168071,"Android","Male"
1307.8608805,"Android","Male"
1046.72578599152,"Android","Male"
1336.5571482243,"Android","Male"
1903.15806048182,"Android","Male"
2031.21683743886,"Android","Male"
